C1= C2= C3= C4= 
[1205, 441][1248, 401][1321, 562][1372, 513]
[1237.47, 299.068][1284.19, 256.968][1343.89, 409.691][1402.48, 359.276]
[1205.09, 279.826][1253.2, 238.454][1312.47, 393.731][1373.51, 342.292]
[1183.66, 268.236][1232.23, 226.583][1293.25, 383.97][1351.99, 330.276]
[1166.14, 261.678][1214.72, 218.297][1275.32, 377.069][1334.46, 322.523]
[1148.56, 256.752][1195.38, 211.866][1255.7, 368.102][1315.7, 315.589]
[1130.86, 251.991][1177.24, 206.86][1239.62, 364.635][1298.54, 312.197]
[1114.44, 249.178][1159.65, 202.753][1223.3, 361.957][1282.51, 308.181]
[1099.6, 244.918][1146.69, 198.904][1210.2, 358.908][1267.41, 303.284]
[1086.99, 241.167][1133.32, 194.378][1197, 355.256][1254.3, 298.77]
[1074.84, 236.689][1121.39, 190.702][1185.47, 351.945][1241.74, 293.993]
[1063.62, 232.659][1108.97, 187.027][1173.08, 347.714][1229.64, 290.286]
[1052.24, 228.579][1097.76, 182.686][1160.26, 342.919][1217.02, 285.642]
[1040.78, 223.633][1088.35, 178.373][1148.76, 337.961][1204.59, 280.27]
[1029.29, 218.147][1075.7, 173.112][1136.7, 332.186][1192.35, 273.911]
[1018.6, 212.671][1069.32, 169.466][1125.84, 326.481][1181.07, 269.692]
[1009.01, 207.545][1058.13, 164.115][1116.12, 321.999][1171.03, 264.45]
[1000.1, 203.185][1048.79, 159.308][1107.95, 317.585][1161.77, 258.634]
[991.476, 198.994][1038.71, 154.77][1099.89, 313.899][1152.88, 254.697]
[983.77, 195.849][1031.26, 151.635][1092.08, 310.864][1144.42, 250.935]
[976.85, 193.822][1024.52, 149.07][1084.53, 307.814][1136.38, 248.72]
[970.449, 192.176][1020.2, 147.834][1077.91, 305.646][1129.39, 247.485]
[965.87, 191.545][1014.74, 146.701][1072.34, 304.335][1124.09, 245.81]
[961.69, 191.041][1009.87, 145.536][1067.67, 303.304][1119.37, 244.506]
[958.493, 191.242][1006.13, 144.957][1063.55, 302.551][1115.22, 244.103]
[955.911, 191.356][1003.4, 144.198][1061.09, 301.655][1112.46, 244.037]
[953.986, 190.801][998.881, 143.248][1059.54, 300.598][1110.14, 243.355]
[953.018, 189.809][998.107, 142.24][1058.6, 299.506][1108.89, 241.458]
[952.27, 188.079][996.964, 141.056][1056.77, 298.255][1108.2, 239.86]
[952.345, 187.203][996.187, 139.787][1056.01, 297.21][1108.07, 236.346]
[952.537, 187.014][997.107, 139.027][1055.58, 296.347][1108.39, 236.613]
[951.472, 185.723][996.067, 138.684][1054.86, 295.924][1108, 237.08]
[949.246, 185.408][995.791, 139.11][1053.2, 296.287][1106.3, 236.213]
[946.725, 185.325][992.583, 139.608][1051.95, 297.286][1104.2, 236.817]
[944.75, 184.845][990.626, 139.58][1052.06, 298.197][1102.28, 237.705]
[943.737, 184.597][991.556, 139.684][1051.29, 297.925][1101.05, 237.701]
[943.263, 185.112][991.21, 138.82][1049.9, 297.591][1100.95, 237.585]
[942.831, 184.792][989.495, 138.256][1050.14, 297.71][1101.1, 237.604]
[942.516, 184.414][988.459, 138.518][1049.78, 297.944][1100.96, 236.946]
[942.43, 184.748][986.164, 138.802][1050.77, 298.201][1100.46, 237.067]
[942.311, 185.393][986.811, 139.134][1050.65, 298.505][1100.3, 237.275]
[942.638, 185.413][987.189, 139.463][1050.14, 297.158][1100.87, 239.438]
[944.173, 184.688][988.218, 139.256][1050.75, 295.094][1102.59, 239.279]
[945.54, 184.212][989.751, 138.632][1052.22, 294.41][1104.66, 239.24]
[947.321, 183.384][993.319, 138.238][1054.36, 294.255][1106.43, 239.02]
[948.819, 183.084][993.454, 138][1055.86, 294.482][1107.92, 238.086]
[950.064, 183.726][993.915, 137.862][1058.21, 294.985][1109.16, 237.956]
[951.161, 184.308][994.135, 138.389][1058.51, 295.462][1110.25, 238.212]
[952.103, 184.818][995.507, 139.409][1060.48, 296.994][1111.74, 239.845]
[953.185, 186.639][997.756, 140.249][1061.25, 298.232][1112.96, 241.16]
[954.375, 186.997][997.378, 140.948][1061.93, 299.239][1113.99, 241.397]
[955.358, 187.311][998.25, 141.529][1062.78, 299.505][1114.84, 241.891]
[956.725, 188.689][999.263, 142.014][1062.94, 299.743][1115.55, 241.755]
[957.837, 189.514][1000.11, 142.423][1062.85, 299.96][1116.7, 241.957]
[958.744, 190.18][1003.3, 142.771][1063.92, 300.159][1117.64, 241.595]
[959.473, 190.711][1003.32, 143.06][1063.69, 300.332][1117.84, 241.609]
[960.347, 190.314][1003.93, 144.135][1065.48, 301.318][1118.59, 241.649]
[960.773, 191.123][1004.14, 144.71][1067.45, 302.652][1119.19, 241.978]
[961.125, 191.488][1004.61, 145.722][1068.45, 303.976][1120.23, 243.633]
[960.864, 191.229][1005.27, 146.515][1068.96, 305.01][1120.5, 244.656]
[961.229, 192.689][1007.46, 147.136][1068.27, 305.814][1121.28, 246.285]
[961.525, 193.826][1009.98, 147.621][1068.57, 306.988][1121.62, 248.651]
[962.316, 194.16][1011.94, 147.998][1070.19, 307.345][1122.16, 248.837]
[962.941, 194.142][1012.36, 148.015][1070.63, 307.065][1123.14, 248.972]
[963.431, 194.402][1010.2, 147.752][1071.8, 307.394][1123.91, 249.073]
[963.816, 194.052][1010.72, 147.273][1072.98, 307.093][1124.5, 249.693]
[964.117, 193.503][1010.02, 146.627][1072.52, 306.305][1124.96, 248.794]
[964.901, 192.804][1010.57, 145.58][1073.53, 305.142][1125.85, 246.991]
[965.509, 191.711][1012.65, 144.77][1075.96, 305.064][1126.55, 247.239]
[965.979, 190.317][1013.16, 143.599][1076.19, 304.455][1127.63, 246.333]
[966.34, 190.069][1013.54, 143.249][1077.45, 305.088][1128.46, 247.009]
[966.612, 191.819][1012.73, 142.994][1076.48, 305.584][1128.54, 246.709]
[966.266, 191.53][1012.08, 143.359][1076.54, 305.693][1128.59, 247.306]
[965.44, 192.966][1010.2, 144.207][1075.47, 307.434][1128.06, 247.495]
[963.691, 194.358][1009.29, 145.978][1074.63, 308.781][1125.7, 250.125]
[961.783, 195.712][1008.03, 147.908][1071.21, 310.923][1124.42, 253.541]
[960.312, 197.857][1005.69, 149.953][1069.67, 312.568][1123.16, 254.792]
[959.184, 199.785][1004.16, 152.082][1069.58, 314.929][1121.08, 256.018]
[958.326, 203.742][1003.54, 154.543][1067.6, 317.837][1120.58, 259.976]
[957.127, 206.784][1001.98, 157.257][1066.35, 321.164][1119.1, 262.738]
[956.224, 209.646][999.697, 159.874][1065.41, 323.692][1118.53, 265.655]
[955.548, 211.54][998.233, 161.863][1063.6, 325.326][1117.55, 266.488]
[955.04, 212.699][997.672, 162.824][1063.59, 326.005][1117.36, 267.648]
[954.122, 211.337][998.1, 162.971][1063.88, 325.925][1117.52, 268.494]
[953.993, 211.321][998.747, 163.029][1063.32, 325.798][1117.93, 269.632]
[953.913, 211.001][998.169, 163.043][1062.62, 325.391][1118.27, 269.376]
[953.877, 210.986][999.952, 163.013][1062.11, 325.028][1118, 269.123]
[953.6, 210.107][998.333, 161.847][1062.01, 324.154][1117.8, 268.325]
[953.681, 208.846][998.471, 160.915][1061.41, 322.896][1117.94, 267.119]
[953.761, 208.395][998.872, 160.169][1060.69, 321.62][1118.33, 266.979]
[953.292, 207.196][997.827, 159.568][1062.08, 321.433][1118.09, 266.014]
[952.948, 206.799][999.514, 159.634][1061.8, 321.271][1117.65, 265.788]
[953.798, 207.581][999.185, 159.672][1061.33, 320.855][1117.59, 263.666]
[955.029, 207.618][999.498, 159.682][1061.26, 320.79][1118.1, 262.825]
[956.818, 208.463][1000.85, 159.68][1062.32, 320.732][1119.61, 262.716]
[960.137, 207.726][1003.83, 159.115][1065.08, 319.574][1122.44, 262.623]
[964.344, 207.415][1007.24, 158.115][1068.88, 318.67][1126.26, 261.445]
[969.249, 206.892][1012.62, 157.884][1071.82, 316.592][1130.87, 261.077]
[975.228, 206.752][1018.98, 157.7][1077.38, 315.804][1136.63, 260.24]
[983.657, 205.811][1027.71, 158.102][1086.61, 315.475][1144.89, 259.592]
[993.728, 204.801][1036.36, 158.412][1097.04, 314.675][1155.1, 259.641]
[1003.36, 204.842][1046.82, 158.647][1106.97, 315.166][1165.68, 260.509]
[1010.71, 204.049][1054.28, 157.723][1115.39, 315.28][1172.67, 260.359]
[1015.2, 202.884][1060.22, 157.553][1120.43, 315.1][1176.87, 258.316]
[1018.99, 203.914][1063.22, 158.519][1125.77, 316.895][1181, 260.039]
[1022.36, 205.814][1067.33, 159.813][1128.4, 318.289][1185.17, 262.202]
[1023.74, 205.916][1071.23, 160.814][1131.68, 319.919][1188.28, 265.804]
[1025.21, 205.991][1071.62, 161.582][1134.36, 320.63][1189.44, 265.015]
[1026.15, 205.77][1073.91, 162.159][1136.22, 321.166][1190.12, 265.207]
[1030.1, 208.625][1076.97, 162.601][1138.13, 320.475][1192.77, 264.522]
[1033.54, 206.702][1081.09, 161.824][1142.73, 319.374][1196.3, 262.599]
[1039.33, 205.477][1088.22, 160.657][1146.65, 316.865][1201.33, 260.553]
[1045.11, 205.075][1093.12, 159.745][1150.98, 314.638][1206.53, 259.513]
[1049.39, 204.488][1096.69, 159.306][1155.52, 314.297][1210.36, 258.439]
[1051.75, 203.482][1100.15, 158.688][1158.36, 313.491][1212.65, 258.163]
[1052.8, 203.811][1100.94, 158.76][1159.78, 313.985][1213.65, 257.964]
[1052.94, 205.171][1100.88, 159.917][1159.66, 316.58][1213.21, 259.745]
[1052.33, 208.154][1101.75, 163.565][1160.49, 321.076][1213.25, 264.436]
[1052.8, 212.933][1102.26, 168.579][1162.08, 326.75][1213.68, 269.165]
[1054.16, 218.003][1104.46, 174.103][1164.02, 331.962][1215.02, 276.945]
[1056.69, 222.16][1105.72, 179.426][1165.63, 336.22][1217.54, 282.093]
[1059.15, 225.365][1107.72, 182.983][1165.98, 337.849][1220.53, 284.962]
[1061.46, 225.315][1109.13, 183.47][1168.59, 337.948][1223.55, 285.463]
[1065.57, 225.198][1112.53, 182.655][1171.55, 336.021][1228.2, 285.208]
