C1= C2= C3= C4= 
[1491, 537][1568, 473][1730, 760][1821, 682]
[1577.49, 580.046][1644.36, 510.689][1834.85, 807.84][1916.17, 726.361]
[1578.49, 580.476][1645.36, 511.011][1836.2, 808.369][1917.37, 726.649]
[1579.53, 580.926][1646.41, 511.347][1837.61, 808.923][1918.63, 726.951]
[1580.83, 581.486][1647.71, 511.766][1839.37, 809.613][1920.2, 727.327]
[1581.87, 581.933][1648.75, 512.099][1840.77, 810.163][1921.45, 727.626]
[1582.92, 582.385][1649.8, 512.437][1842.19, 810.719][1922.72, 727.93]
[1584, 582.849][1650.88, 512.784][1843.65, 811.29][1924.02, 728.24]
[1585.04, 583.3][1651.93, 513.121][1845.07, 811.845][1925.29, 728.543]
[1579.59, 585.813][1653.92, 525.872][1830.46, 823.034][1910.46, 728.071]
[1580.33, 586.334][1654.97, 526.716][1831.15, 824.014][1911.01, 728.33]
[1581.06, 586.851][1656.01, 527.553][1831.84, 824.985][1911.55, 728.587]
[1581.81, 587.378][1657.07, 528.406][1832.55, 825.976][1912.1, 728.849]
[1582.63, 587.961][1658.25, 529.351][1833.32, 827.073][1912.71, 729.139]
[1583.37, 588.485][1659.31, 530.201][1834.02, 828.059][1913.26, 729.4]
[1584.11, 589.003][1660.35, 531.039][1834.71, 829.033][1913.81, 729.657]
[1584.85, 589.527][1661.41, 531.888][1835.41, 830.018][1914.35, 729.918]
[1585.6, 590.057][1662.47, 532.747][1836.12, 831.015][1914.91, 730.181]
[1586.35, 590.588][1663.55, 533.606][1836.83, 832.013][1915.46, 730.445]
[1587.09, 591.113][1664.6, 534.457][1837.53, 833.001][1916.01, 730.707]
[1587.84, 591.645][1665.68, 535.319][1838.24, 834.001][1916.57, 730.971]
[1588.6, 592.177][1666.75, 536.18][1838.95, 835.001][1917.13, 731.236]
[1589.34, 592.699][1667.8, 537.027][1839.64, 835.984][1917.68, 731.496]
[1590.07, 593.22][1668.85, 537.871][1840.34, 836.963][1918.22, 731.755]
[1590.78, 593.721][1669.86, 538.682][1841.01, 837.905][1918.75, 732.004]
[1591.53, 594.254][1670.94, 539.545][1841.72, 838.907][1919.3, 732.269]
[1592.28, 594.782][1672, 540.4][1842.42, 839.9][1919.86, 732.531]
[1593.03, 595.309][1673.07, 541.254][1843.12, 840.891][1920.41, 732.794]
[1593.83, 595.878][1674.21, 542.176][1843.88, 841.961][1921.01, 733.077]
[1594.57, 596.4][1675.27, 543.023][1844.58, 842.944][1921.55, 733.336]
[1595.31, 596.922][1676.32, 543.867][1845.28, 843.924][1922.1, 733.596]
[1596.05, 597.444][1677.37, 544.714][1845.97, 844.907][1922.65, 733.856]
[1596.79, 597.97][1678.43, 545.566][1846.67, 845.897][1923.2, 734.117]
[1597.53, 598.491][1679.48, 546.409][1847.37, 846.875][1923.74, 734.376]
[1598.27, 599.012][1680.53, 547.253][1848.06, 847.855][1924.29, 734.635]
[1599.07, 599.58][1681.68, 548.174][1848.82, 848.924][1924.88, 734.918]
[1599.79, 600.092][1682.71, 549.003][1849.5, 849.887][1925.42, 735.173]
[1600.54, 600.616][1683.77, 549.852][1850.2, 850.872][1925.97, 735.433]
[1601.27, 601.138][1684.82, 550.697][1850.9, 851.853][1926.51, 735.693]
[1602.01, 601.661][1685.88, 551.546][1851.6, 852.838][1927.06, 735.953]
[1602.83, 602.237][1687.04, 552.479][1852.37, 853.921][1927.67, 736.24]
[1603.57, 602.763][1688.1, 553.33][1853.07, 854.909][1928.22, 736.501]
[1604.32, 603.289][1689.16, 554.182][1853.77, 855.898][1928.77, 736.762]
[1605.06, 603.817][1690.22, 555.037][1854.47, 856.891][1929.32, 737.025]
[1605.8, 604.338][1691.28, 555.882][1855.17, 857.872][1929.87, 737.284]
[1606.55, 604.868][1692.34, 556.739][1855.87, 858.867][1930.42, 737.548]
[1607.29, 605.389][1693.39, 557.583][1856.57, 859.847][1930.97, 737.807]
[1608.02, 605.906][1694.44, 558.421][1857.26, 860.82][1931.51, 738.064]
[1608.76, 606.426][1695.49, 559.264][1857.95, 861.798][1932.05, 738.323]
[1609.5, 606.95][1696.54, 560.113][1858.65, 862.783][1932.6, 738.583]
[1610.22, 607.46][1697.57, 560.939][1859.33, 863.742][1933.14, 738.837]
[1601.2, 571.76][1663.73, 510.085][1844.33, 795.454][1908.53, 703.742]
[1599.22, 562.237][1667.08, 506.125][1831.17, 776.452][1907.67, 698.315]
[1600.93, 556.635][1669.92, 500.639][1826.7, 762.937][1902.66, 688.357]
[1601.24, 547.092][1672.2, 494.178][1823.19, 750.578][1898.51, 678.712]
[1602.72, 539.112][1669.99, 484.206][1821.76, 736.929][1895.41, 665.659]
[1603.78, 528.833][1667.46, 472.775][1818.01, 721.373][1893.8, 653.232]
[1604.25, 516.033][1669.46, 462.418][1812.2, 704.962][1889.59, 637.633]
[1604.94, 505.512][1667.33, 450.431][1810.35, 689.372][1887.17, 624.255]
[1604.73, 496.843][1665.68, 440.915][1805.58, 675.782][1883.15, 612.109]
[1603.32, 490.43][1665.04, 435.692][1798.94, 665.722][1878.92, 606.16]
[1599.79, 487.786][1660.92, 432.732][1791.33, 659.916][1873.11, 602.457]
[1596.49, 489.724][1657.52, 433.822][1786.62, 659.939][1868.23, 604.879]
[1595.79, 496.827][1657.37, 442.079][1783.18, 666.616][1867.03, 613.908]
[1596.78, 511.441][1656.71, 454.587][1780.75, 678.994][1868.37, 628.859]
[1597.84, 527.803][1655.94, 469.634][1783.5, 696.433][1870.39, 645.809]
[1597.49, 544.855][1657.48, 487.172][1784.58, 714.453][1870.87, 664.836]
[1594.86, 559.315][1652.8, 501.722][1786.76, 735.121][1865.44, 678.179]
[1589.33, 570.26][1651.32, 514.513][1782.36, 745.903][1859.02, 687.113]
[1582.2, 574.93][1641.45, 519.426][1769.14, 746.998][1850.71, 693.205]
[1573.86, 575.109][1631.6, 518.911][1760.58, 744.788][1840.08, 692.453]
[1564.46, 569.58][1619.85, 513.727][1748.09, 737.133][1823.91, 682.966]
[1554.6, 560.303][1610.03, 504.127][1736.35, 723.469][1809.08, 671.312]
[1544.87, 547.542][1599.77, 490.826][1723.22, 706.555][1790.97, 650.935]
[1535.26, 534.191][1589.2, 475.607][1708.47, 686.619][1775.64, 633.544]
[1524.59, 517.81][1578.11, 459.539][1694.23, 666.153][1760.43, 615.008]
[1514.96, 501.548][1567.05, 444.402][1680.86, 647.499][1746.66, 596.918]
[1506.57, 488.81][1558.45, 431.958][1668.8, 630.695][1734.33, 579.065]
[1498.77, 478.113][1551.99, 422.94][1658.93, 618.793][1722.86, 567.756]
[1492.01, 471.069][1545.43, 417.474][1648.72, 608.976][1713.51, 560.958]
[1485.28, 465.528][1538.86, 413.724][1637.1, 602.259][1703.75, 556.547]
[1478.17, 462.468][1531.05, 411.446][1627.86, 598.176][1693.67, 553.603]
[1471.3, 460.972][1523.94, 410.531][1618.92, 594.869][1682.95, 550.254]
[1465.83, 460.128][1515.41, 410.108][1610.57, 591.911][1675.59, 547.492]
[1461.9, 461.146][1510.02, 411.14][1604.56, 590.25][1669.21, 545.652]
[1459.82, 463.059][1510.33, 414.486][1601.04, 591.686][1666.02, 547.769]
[1459.77, 466.224][1509.26, 420.173][1598.9, 596.658][1666.47, 553.218]
[1462.61, 476.354][1509.89, 430.486][1599.66, 607.705][1667.52, 561.412]
[1467.16, 493.581][1515.37, 444.918][1600.18, 620.554][1672.61, 577.517]
[1472.36, 507.203][1520.75, 457.801][1607.05, 636.393][1679.83, 592.078]
[1478.56, 523.787][1527.99, 472.354][1616.98, 653.037][1688.56, 609.153]
[1482.87, 537.099][1536.62, 485.535][1625.69, 666.99][1697.21, 625.2]
[1487.63, 546.591][1539.18, 494.047][1633.76, 679.206][1703.76, 633.115]
[1493.08, 549.603][1543.53, 497.469][1643.26, 686.098][1711.21, 635.823]
[1499.64, 547.158][1548.67, 494.761][1652.66, 685.8][1720.79, 635.486]
[1513.43, 540.991][1562.53, 487.232][1670.7, 681.603][1739.84, 632.138]
[1526.31, 542.107][1574.33, 484.701][1684.53, 680.483][1754.17, 629.076]
[1534.98, 535.026][1585.08, 479.743][1697.39, 677.758][1769.73, 628.333]
[1545.55, 529.162][1594.09, 473.513][1710.87, 674.388][1782.4, 621.012]
[1555.92, 523.698][1607.31, 468.645][1727.23, 671.423][1799.85, 619.917]
[1564.15, 517.419][1616.87, 461.977][1739.68, 668.181][1810.25, 613.523]
[1570.36, 510.824][1623.83, 456.243][1748.82, 665.646][1818.67, 606.538]
[1574.28, 506.627][1628.02, 450.699][1756.91, 662.501][1827.35, 604.621]
[1575.98, 501.367][1633.71, 446.43][1761.8, 657.73][1832.12, 601.119]
[1577.51, 495.668][1633.63, 439.77][1764.16, 651.742][1831.49, 593.547]
