C1= C2= C3= C4= 
[1667, 307][1728, 259][1791, 418][1876, 374]
[1564.96, 160.112][1600.08, 130.964][1584.08, 149.656][1667.52, 219.245]
[1571.18, 167.721][1602.85, 133.612][1585.82, 150.337][1668.69, 225.861]
[1577.47, 175.412][1605.64, 136.29][1587.57, 151.026][1669.87, 232.55]
[1583.78, 183.139][1608.45, 138.98][1589.33, 151.718][1671.05, 239.27]
[1590.22, 191.015][1611.31, 141.722][1591.13, 152.423][1672.26, 246.119]
[1558.84, 118.641][1620.38, 63.8248][1601.43, 64.9826][1668.21, 217.046]
[1553.19, 106.398][1612.67, 38.5583][1593.2, 36.4543][1667.65, 212.509]
[1552.64, 119.666][1596.51, 55.3242][1614.98, 94.0822][1664.55, 201.774]
[1552.54, 128.097][1584.01, 65.4685][1625.88, 128.283][1671.3, 160.333]
[1555.44, 131.095][1584.31, 63.9461][1629.43, 128.807][1672.26, 160.16]
[1558.28, 134.036][1584.6, 62.4532][1632.9, 129.321][1673.2, 159.989]
[1561.18, 137.035][1584.9, 60.9308][1636.45, 129.845][1674.16, 159.816]
[1564.01, 139.967][1585.19, 59.4421][1639.91, 130.357][1675.1, 159.646]
[1559.55, 119.147][1568.27, 100.874][1616.2, 65.25][1670.73, 182.533]
[1561.9, 120.442][1567.36, 102.385][1617.79, 61.1574][1671.3, 183.982]
[1557.76, 130.587][1565.76, 98.0158][1626.57, 122.477][1670.11, 190.3]
[1559.71, 132.553][1564.78, 99.1401][1628.72, 123.002][1670.57, 192.136]
[1561.69, 134.563][1563.77, 100.289][1630.92, 123.539][1671.05, 194.013]
[1563.61, 136.51][1562.79, 101.403][1633.05, 124.059][1671.5, 195.832]
[1565.56, 138.48][1561.8, 102.53][1635.21, 124.585][1671.97, 197.672]
[1567.51, 140.454][1560.81, 103.659][1637.37, 125.113][1672.43, 199.516]
[1569.45, 142.414][1559.83, 104.78][1639.51, 125.637][1672.89, 201.347]
[1571.35, 144.344][1558.86, 105.884][1641.62, 126.152][1673.34, 203.149]
[1573.22, 146.228][1557.91, 106.961][1643.69, 126.656][1673.78, 204.909]
[1575.08, 148.114][1556.96, 108.04][1645.75, 127.16][1674.23, 206.67]
[1556.79, 133.543][1612.11, 157.66][1641.22, 182.53][1668.93, 196.889]
[1557.53, 134.516][1614.33, 161.493][1642.93, 186.14][1669.05, 198.013]
[1568.5, 138.344][1612.62, 158.915][1647.93, 196.092][1668.57, 198.024]
[1569.97, 139.592][1614.79, 162.694][1650.02, 200.451][1668.66, 199.183]
[1571.31, 140.725][1616.76, 166.122][1651.91, 204.406][1668.75, 200.234]
[1572.64, 141.853][1618.72, 169.539][1653.79, 208.347][1668.83, 201.281]
[1573.96, 142.971][1620.67, 172.922][1655.65, 212.25][1668.92, 202.318]
[1559.36, 139.958][1587.83, 125.366][1646.72, 207.333][1663.16, 188.562]
[1555.62, 142.17][1580.63, 111.886][1646.28, 207.07][1661.25, 184.19]
[1553.33, 141.33][1576.09, 104.448][1616.89, 190.41][1663.38, 188.61]
[1552.84, 141.845][1573.13, 99.6195][1623.32, 195.183][1664.72, 190.786]
[1553.73, 144.282][1569.61, 95.7506][1629.95, 198.664][1665.65, 191.971]
[1547.56, 126.19][1570.33, 94.4257][1609.59, 186.952][1666.33, 193.128]
[1548.2, 129.837][1569.16, 92.6302][1617.42, 191.813][1666.84, 193.685]
[1548.71, 132.635][1568.33, 91.3352][1622.28, 195.17][1667.23, 194.959]
[1548.55, 135.36][1567.77, 90.4551][1627.48, 197.923][1666.94, 194.17]
[1550.47, 138.037][1567.66, 90.4069][1633.23, 200.282][1664.41, 189.501]
[1555.99, 137.477][1572.85, 113.819][1638.2, 201.963][1665.05, 188.77]
