C1= C2= C3= C4= 
[949.877, 194.332][1002.64, 148.203][1055.82, 303.478][1126.04, 256.857]
[949.491, 191.297][1001.28, 143.729][1052.78, 298.045][1125.59, 252.369]
[948.856, 186.535][1000.45, 139.249][1054.54, 294.761][1126.56, 249.264]
[949.204, 183.264][1000.93, 135.371][1056.18, 292.076][1127.3, 245.601]
[949.825, 181.221][1003.87, 133.15][1058.08, 290.753][1128.75, 243.804]
[950.219, 179.759][1004.67, 131.561][1059.72, 289.563][1129.77, 242.251]
[950.431, 177.914][1005.46, 129.905][1059.49, 287.362][1131.83, 241.166]
[951.371, 176.638][1005.72, 128.786][1060.63, 286.635][1133.62, 240.472]
[952.84, 176.065][1006.93, 128.344][1058.9, 284.808][1135.16, 240.343]
[954.127, 176.853][1009.41, 128.682][1055.74, 282.387][1137.03, 240.909]
[955.283, 177.313][1011.2, 129.081][1060.15, 286.212][1138.89, 241.187]
[956.309, 178.055][1012.98, 129.505][1060.36, 286.499][1140.43, 244.009]
[957.224, 179.567][1013.63, 129.664][1060.64, 287.096][1141.99, 244.893]
[958.031, 179.983][1013.38, 129.877][1065.43, 290.146][1143.27, 244.811]
[959.324, 180.117][1015.24, 130.148][1066.73, 290.086][1144.34, 245.383]
[960.943, 183.337][1017.29, 129.856][1070.59, 292.034][1146.04, 245.591]
[961.172, 181.443][1018.68, 129.724][1070.58, 290.82][1147.42, 246.377]
[961.971, 181.424][1018.41, 130.252][1073.97, 293.832][1148.25, 246.758]
[962.1, 181.47][1017.7, 131.295][1073.57, 293.983][1148.92, 248.496]
[963.345, 184.601][1016.9, 132.696][1073.84, 294.119][1149.46, 249.031]
[963.25, 184.847][1018.56, 134.403][1075.2, 295.377][1149.9, 250.041]
[963.217, 184.508][1017.38, 135.207][1076.55, 298.608][1149.71, 248.895]
[962.675, 184.834][1016.78, 136.423][1074.83, 298.338][1149.57, 249.985]
[962.279, 185.106][1016.62, 137.386][1075.74, 300.089][1149.48, 251.406]
[962.015, 185.904][1016.82, 138.437][1077.3, 301.172][1149.43, 251.968]
[962.962, 187.099][1016.45, 139.545][1076.57, 301.451][1149.68, 252.414]
[964.284, 188.597][1018.15, 140.413][1076.85, 301.663][1150.73, 254.72]
[965.332, 189.206][1018.93, 141.368][1077.35, 301.822][1152.1, 255.391]
[966.716, 189.681][1020.39, 141.83][1078.02, 302.217][1153.17, 256.462]
[968.356, 189.214][1021.26, 142.189][1078.27, 302.243][1154.56, 257.57]
[969.634, 189.131][1022.22, 142.741][1077.62, 301.697][1156.18, 256.742]
[971.18, 189.627][1024.36, 143.165][1080.47, 301.827][1157.99, 257.763]
[973.49, 190.291][1026.86, 143.768][1085.47, 302.483][1160.49, 258.267]
[975.824, 191.363][1028.22, 144.226][1086.53, 302.429][1162.41, 259.482]
[977.605, 192.186][1030.37, 144.571][1086.49, 302.658][1163.3, 259.569]
[978.962, 193.654][1031.18, 145.387][1090.06, 305.899][1163.68, 259.343]
[979.974, 195.333][1032.34, 146.005][1092.78, 308.392][1163.93, 259.709]
[980.719, 195.5][1034.03, 146.468][1093.17, 308.905][1164.09, 259.698]
[980.714, 195.059][1034.48, 146.816][1093.71, 310.117][1164.47, 260.513]
[980.117, 194.143][1033.96, 146.791][1090.48, 308.247][1163.9, 259.462]
[979.07, 192.866][1035.47, 147.034][1090.99, 308.164][1163.15, 259.747]
[978.237, 192.423][1034.95, 146.657][1091.64, 309.472][1162.28, 259.125]
[977.571, 192.353][1033.96, 146.351][1091.85, 309.912][1161.58, 258.912]
[977.04, 193.13][1033.73, 146.104][1088.64, 308.285][1160.75, 258.741]
[975.5, 192.615][1031.85, 146.18][1088.35, 308.951][1158.98, 258.879]
[974.3, 193.324][1028.71, 146.233][1085.61, 307.783][1157.6, 257.312]
[973.37, 193.868][1027.38, 145.986][1085.44, 308.254][1156.54, 258.599]
[972.653, 194.282][1026.08, 145.79][1080.86, 306.11][1155.72, 259.038]
[972.102, 194.595][1025.92, 145.632][1082.31, 307.496][1155.1, 259.097]
[971.682, 194.553][1025.24, 145.506][1082.9, 308.567][1154.62, 259.415]
[970.248, 194.792][1025, 146.52][1082.81, 309.95][1153.15, 260.494]
[969.156, 196.076][1023.45, 147.854][1083.31, 311.002][1151.76, 261.318]
[968.322, 196.507][1023.09, 148.88][1083.15, 312.637][1150.69, 261.67]
[967.696, 197.104][1022.83, 149.105][1082.19, 312.492][1150.17, 262.485]
[967.223, 197.559][1021.8, 149.27][1081.73, 312.643][1150.06, 262.552]
[966.881, 198.449][1021.03, 149.381][1080.83, 313.013][1149.73, 263.422]
[966.641, 198.285][1022.68, 150.008][1080.71, 312.72][1149.5, 262.965]
[966.474, 197.863][1020.64, 148.812][1081.18, 311.642][1150.17, 262.32]
[968.862, 201.966][1021.3, 147.875][1081.83, 310.516][1151.55, 260.976]
[969.894, 200.685][1021.55, 146.587][1080.67, 308.244][1153.18, 261.039]
[970.7, 198.833][1022.32, 145.585][1080.06, 306.48][1154.18, 260.249]
[971.33, 197.379][1023.2, 144.806][1081.27, 305.946][1154.96, 259.075]
[971.817, 195.683][1023.89, 144.211][1075.81, 300.81][1155.56, 258.168]
[972.191, 194.924][1024.71, 143.759][1078.01, 301.031][1156.03, 258.306]
[973.034, 194.896][1025.07, 143.417][1080.84, 301.507][1156.66, 257.585]
[973.685, 194.876][1024.8, 143.158][1082.49, 302.729][1157.14, 257.308]
[974.178, 194.865][1025.41, 142.972][1082.38, 303.144][1157.79, 258.777]
[973.993, 194.024][1025.06, 142.837][1081.46, 302.645][1158, 258.249]
[973.839, 193.379][1025.06, 142.745][1083.52, 303.108][1158.15, 257.844]
[974.267, 192.608][1024.22, 142.127][1081.23, 301.811][1158.81, 256.979]
[975.151, 192.016][1024.68, 141.655][1080.56, 300.535][1159.87, 256.869]
[975.267, 191.014][1023.65, 140.746][1079.49, 299.01][1159.56, 254.844]
[974.789, 189.692][1024.53, 140.055][1081.46, 300.633][1159.31, 254.679]
[973.851, 188.684][1024.1, 139.534][1079.64, 299.683][1158.55, 254.287]
[973.117, 188.758][1024.32, 140.262][1078.79, 299.519][1157.38, 254.834]
[972.544, 189.675][1023.93, 141.402][1079.82, 301.365][1156.48, 255.831]
[970.984, 189.565][1022.8, 141.738][1080.91, 302.252][1155.5, 254.381]
[970.34, 189.22][1023.88, 141.449][1079.52, 301.274][1155.02, 253.551]
[969.849, 189.801][1023.05, 141.232][1080.96, 301.638][1154.65, 252.087]
[969.476, 190.261][1022.97, 141.069][1079.57, 301.091][1154.38, 253.75]
[968.644, 190.63][1022.91, 140.952][1075.99, 299.286][1153.62, 254.778]
[968.006, 190.364][1023.7, 140.866][1075.45, 298.729][1153.03, 254.746]
[966.97, 189.887][1022.09, 140.25][1073.67, 298.035][1152.31, 254.451]
[966.188, 189.25][1021.41, 139.784][1072.31, 297.518][1151.77, 253.674]
[965.6, 189.043][1020.06, 139.432][1072.12, 297.134][1151.64, 253.637]
[965.715, 189.169][1019.57, 140.001][1075.05, 300.468][1150.99, 253.614]
[965.822, 189.275][1020.04, 140.731][1076.8, 301.675][1151.06, 254.163]
[965.925, 189.647][1019.59, 140.746][1074.81, 301.218][1151.69, 255.434]
[966.58, 189.942][1020.08, 140.762][1078.03, 302.259][1152.19, 255.864]
[967.101, 189.619][1019.65, 140.779][1079.97, 303.064][1152.87, 255.361]
[968.071, 188.817][1020.71, 140.517][1080.35, 302.29][1153.95, 254.971]
[969.389, 188.197][1022.1, 140.036][1082.6, 302.803][1155.64, 254.668]
[970.968, 188.01][1025.41, 139.671][1082.09, 301.242][1156.94, 253.881]
[972.47, 187.871][1026.03, 138.834][1084.2, 301.706][1158.5, 253.273]
[973.896, 186.943][1026.48, 138.198][1084.69, 300.952][1158.85, 252.256]
[974.987, 185.676][1027.93, 137.158][1086.45, 300.369][1158.27, 248.134]
[975.816, 184.986][1028.77, 136.363][1085.56, 298.528][1159.48, 248.857]
[976.439, 184.467][1029.11, 135.762][1086.52, 297.945][1160.41, 248.605]
[976.338, 183.532][1028.8, 135.317][1086.4, 296.673][1161.1, 249.548]
[975.685, 182.267][1029.1, 135.265][1087.12, 296.535][1161.63, 249.738]
[975.16, 181.309][1028.48, 134.964][1085.72, 295.611][1161.45, 249.343]
[975.293, 181.986][1027.42, 134.472][1086.27, 295.748][1161.3, 249.054]
[974.829, 181.141][1028.26, 134.384][1084.47, 294.758][1161.16, 249.399]
[975.013, 181.899][1028.35, 134.054][1084.45, 294.286][1161.04, 248.566]
[975.146, 181.675][1028.12, 133.538][1082.48, 291.996][1160.93, 248.77]
[974.127, 180.683][1029.33, 133.709][1083.17, 292.465][1160.83, 248.106]
[973.886, 180.767][1027.75, 133.301][1084.54, 293.41][1159.63, 247.046]
[973.137, 180.298][1033.75, 136.343][1085.05, 294.166][1158.14, 247.634]
[972.554, 179.675][1030.87, 135.369][1085.7, 294.49][1156.98, 246.158]
[972.102, 179.767][1028.34, 134.062][1085.65, 294.473][1156.64, 245.863]
[971.195, 179.298][1026.08, 133.054][1085.6, 295.308][1155.82, 245.929]
[969.938, 179.234][1024.33, 132.286][1083.04, 294.29][1154.36, 245.161]
[968.97, 179.201][1023.26, 131.983][1082.72, 294.346][1153.23, 244.582]
[968.238, 179.199][1025.23, 132.05][1080.53, 293.287][1152.66, 245.276]
[968.243, 178.934][1023.7, 131.559][1078, 292.199][1152.79, 244.993]
[968.26, 178.743][1024.2, 131.75][1077.45, 292.206][1152.91, 246.182]
[968.284, 179.444][1023.47, 131.908][1079, 294.179][1153.01, 246.835]
[967.762, 179.726][1020.97, 131.771][1077.98, 294.046][1153.11, 246.515]
[966.813, 179.119][1020.44, 131.398][1078.89, 294.228][1150.69, 242.092]
[966.65, 180.051][1019.77, 131.12][1077.93, 294.096][1151.34, 242.863]
[966.54, 179.947][1020.67, 131.475][1076.64, 293.721][1151.86, 243.481]
[966.465, 179.591][1021.38, 131.759][1076.21, 293.712][1152.28, 243.974]
[966.983, 180.162][1021.95, 131.991][1075.9, 293.713][1152.62, 244.931]
[967.397, 180.61][1021.56, 132.178][1078.75, 294.277][1153.17, 245.125]
[967.727, 180.124][1021.55, 132.329][1078.45, 294.718][1153.88, 245.839]
[968.548, 180.308][1022.11, 133.01][1081.02, 296.458][1154.43, 246.119]
[969.19, 180.456][1023.39, 133.54][1079.95, 295.571][1155.42, 246.896]
[970.806, 181.689][1026.61, 133.953][1082.46, 296.554][1156.47, 247.5]
[972.336, 182.646][1028.55, 134.271][1084.69, 297.313][1157.55, 248.803]
[973.236, 183.105][1029.21, 134.516][1084.17, 296.498][1158.95, 248.691]
[974.469, 183.171][1030.52, 134.7][1085.13, 296.416][1161.12, 249.987]
[975.971, 185.727][1029.85, 134.84][1086.43, 296.909][1162.23, 250.147]
[977.111, 185.742][1031.81, 135.222][1088.53, 297.563][1163.06, 250.259]
[977.976, 186.577][1033.6, 135.236][1088.19, 297.229][1163.68, 250.615]
[978.611, 185.254][1032.16, 134.682][1088.44, 296.405][1164.13, 250.041]
[979.084, 184.218][1034.36, 134.251][1085.01, 292.981][1165.02, 250.423]
[979.429, 182.848][1033.82, 133.356][1086.51, 293.113][1166.24, 249.877]
[980.776, 182.897][1034.21, 132.664][1088.77, 293.228][1167.98, 249.443]
[981.794, 182.378][1035.88, 132.132][1092.74, 294.162][1169.58, 249.38]
[982.546, 181.976][1035.74, 131.727][1093.27, 293.779][1170.22, 248.213]
[982.543, 181.389][1037.28, 131.976][1091.71, 292.654][1170.12, 248.143]
[981.961, 180.657][1038.18, 132.732][1091.03, 293.456][1170.57, 248.647]
[981.476, 181.769][1037.17, 133.881][1090.75, 294.644][1169.76, 249.872]
[981.083, 183.752][1035.8, 135.332][1089.96, 296.128][1168.84, 251.381]
[980.195, 185.57][1035.27, 136.733][1089.33, 297.557][1167.81, 252.262]
[979.489, 186.408][1034, 137.527][1090.78, 299.771][1166.7, 252.652]
[978.93, 186.485][1033.57, 138.127][1089.93, 300.074][1166.12, 252.937]
[978.49, 186.532][1032.67, 138.299][1089.27, 300.292][1166.21, 253.424]
[978.699, 186.555][1033.08, 138.139][1087.35, 298.772][1166.82, 254.343]
[979.412, 186.838][1034.51, 138][1087.53, 298.695][1168.13, 255.316]
[980.514, 186.489][1035.33, 137.88][1087.95, 298.625][1169.4, 255.772]
[982.471, 190.657][1035.95, 138.055][1090.5, 299.119][1170.37, 254.996]
[982.862, 190.814][1036.43, 138.459][1091.91, 300.05][1170.83, 255.767]
[982.589, 190.074][1036.78, 139.316][1092.71, 301.315][1171.16, 256.903]
[982.367, 190.601][1038.44, 141.091][1091.37, 301.734][1170.57, 257.775]
[981.616, 191.263][1038.59, 142.447][1090.59, 303.152][1170.09, 258.981]
[981.023, 192.038][1039.52, 143.48][1090.53, 304.795][1169.42, 260.454]
[980.553, 192.609][1037.43, 144.247][1092.71, 307.989][1168.61, 260.443]
[980.742, 193.589][1037.19, 145.934][1092.44, 309.04][1168.53, 261.804]
[981.999, 198.787][1037.83, 147.771][1094.16, 310.934][1169.57, 264.224]
[981.85, 199.436][1039.99, 149.721][1095.77, 312.364][1169.82, 266.068]
[981.167, 199.889][1037.74, 150.07][1094.75, 313.421][1169.72, 266.892]
[980.632, 200.752][1036.54, 150.855][1094.22, 314.747][1169.36, 268.042]
[980.771, 201.949][1037, 151.994][1094.08, 316.301][1169.63, 269.183]
[980.318, 202.273][1037.36, 152.832][1095.07, 318.29][1169.83, 270.855]
[979.408, 202.476][1036.51, 153.714][1094.71, 319.493][1169.98, 271.82]
[979.261, 203.699][1038.35, 155.182][1093.29, 320.081][1170.08, 273.066]
[979.151, 204.883][1036.71, 155.719][1095.25, 323.538][1170.44, 274.815]
[978.51, 206.055][1034.6, 156.109][1096.48, 325.91][1170.43, 274.75]
[978.018, 206.914][1032.97, 156.363][1094.92, 325.726][1170.13, 274.641]
[977.919, 207.548][1032.82, 156.529][1096.76, 328.324][1170.18, 275.358]
[977.57, 207.993][1032.71, 156.896][1098.17, 329.994][1170.48, 276.426]
[977.31, 207.997][1032.65, 157.126][1098.68, 329.235][1170.71, 276.908]
[977.114, 208.254][1032.33, 157.284][1097.11, 328.049][1170.61, 277.534]
[977.53, 208.684][1032.65, 157.364][1098.38, 329.849][1171.63, 277.685]
[978.417, 208.148][1033.74, 157.119][1099.63, 330.918][1173.54, 279.44]
[979.665, 207.969][1034.04, 156.335][1099.18, 329.724][1174.99, 279.35]
[980.629, 207.524][1035.67, 155.984][1100.48, 329.031][1176.94, 280.352]
[981.928, 207.991][1039.43, 156.529][1102.59, 328.458][1179.26, 281.372]
[984.04, 209.164][1042.05, 156.932][1105.58, 329.367][1181.31, 281.287]
[985.663, 209.489][1041.56, 156.668][1105.65, 329.479][1182.86, 280.623]
[986.901, 209.716][1042.27, 157][1107.89, 330.644][1184.3, 279.516]
[988.406, 209.873][1043.36, 156.689][1108.49, 330.13][1185.95, 280.309]
[990.642, 210.792][1047.52, 157.815][1108.34, 329.959][1187.15, 280.043]
[992.34, 212.036][1049.02, 157.836][1109.57, 329.799][1188.6, 281.482]
[993.07, 211.029][1052.95, 158.952][1107.44, 327.425][1189.96, 281.463]
[994.148, 210.777][1053.15, 159.239][1105.74, 325.562][1191.23, 281.138]
[994.943, 210.56][1053.53, 159.72][1107.75, 326.613][1191.61, 281.141]
[996.067, 210.926][1053.49, 160.069][1109, 327.695][1192.4, 282.507]
[996.919, 211.201][1053.43, 160.609][1109.68, 328.53][1192.99, 283.278]
[997.515, 210.83][1053.6, 160.996][1107.93, 327.483][1193.37, 283.836]
[998.491, 211.361][1053.41, 160.719][1107.95, 326.66][1194.73, 284.798]
