C1= C2= C3= C4= 
[1173, 356][1228, 313][1302, 487][1368, 435]
[1426.67, 647.05][1470.29, 604.905][1545.32, 764.165][1596.45, 710.222]
[1426.09, 647.567][1468.99, 604.32][1546.34, 763.535][1596.43, 709.7]
[1425.64, 647.358][1469.7, 603.828][1544.01, 762.437][1596.14, 710.686]
[1425.31, 646.298][1467.99, 602.839][1542.21, 761.548][1597.07, 711.983]
[1425.07, 646.292][1467.81, 602.612][1541.68, 761.398][1596.66, 710.966]
[1424.89, 648.528][1467.97, 602.417][1541.57, 761.829][1596.92, 711.006]
[1425.05, 647.397][1470.09, 602.813][1541.5, 762.142][1596.57, 711.294]
[1424.9, 645.364][1470.6, 602.541][1541.18, 762.087][1596.3, 710.653]
[1424.23, 644.046][1470.15, 601.173][1539.8, 760.601][1594.96, 709.279]
[1423.16, 642.163][1468.67, 598.969][1539.62, 759.435][1593.66, 705.369]
[1421.79, 639.298][1466.13, 596.704][1538.65, 757.965][1591.84, 703.768]
[1420.19, 636.819][1465.59, 594.968][1538.2, 756.269][1589.89, 702.547]
[1417.86, 633.808][1466.87, 594.206][1535.64, 754.41][1588.14, 699.942]
[1414.4, 629.817][1462, 590.269][1531.16, 750.46][1584.29, 696.823]
[1409.58, 625.145][1455.78, 585.619][1526.39, 745.794][1578.62, 692.531]
[1404.21, 620.724][1451, 581.765][1520.5, 741.094][1572.6, 688.4]
[1397.23, 615.604][1443.08, 576.807][1513.12, 735.753][1565.67, 683.784]
[1389.11, 610.885][1434.77, 572.476][1503.56, 730.285][1556.47, 679.724]
[1380.68, 607.893][1425.64, 568.367][1494.32, 725.579][1547.51, 675.263]
[1373.19, 604.285][1420.97, 566.692][1484.51, 720.921][1539.32, 672.754]
[1365.95, 601.939][1414.78, 564.699][1475.24, 717.49][1531.02, 672.363]
[1358.73, 600.446][1406.68, 562.914][1467.85, 715.719][1524.1, 670.138]
[1352.19, 600.24][1402.54, 562.748][1460.64, 714.463][1516.68, 670.473]
[1345.08, 599.918][1394.18, 561.598][1453.05, 713.62][1509.2, 667.177]
[1338.12, 598.932][1385.68, 560.805][1446.02, 713.373][1503.66, 667.821]
[1330.7, 598.259][1382.11, 561.403][1438, 712.156][1496.78, 667.563]
[1325.73, 596.695][1373.63, 558.555][1433.45, 711.028][1491.11, 666.313]
[1323.83, 594.159][1369.56, 554.164][1431.33, 708.276][1488.97, 663.445]
[1321.03, 592.619][1365.65, 552.035][1430.93, 708.557][1487.12, 663.047]
[1319.64, 589.82][1363.13, 549.348][1431.42, 707.452][1487.61, 661.123]
[1319.38, 586.633][1362.28, 543.999][1431.48, 703.882][1488.23, 657.19]
[1318.86, 582.887][1360.77, 539.437][1433.17, 701.519][1490.35, 654.82]
[1318.66, 577.307][1362.06, 534.081][1435.52, 699.239][1490.78, 646.649]
[1318.79, 570.971][1362.79, 527.356][1438.49, 695.2][1493.38, 643.366]
[1320.09, 566.341][1363.15, 521.887][1439.67, 691.169][1497.37, 640.795]
[1322.27, 560.8][1365.18, 515.981][1445.16, 688.63][1502.22, 636.569]
[1324.18, 555.626][1368.4, 508.853][1447.59, 682.334][1506.69, 631.526]
[1324.64, 546.997][1370.73, 500.145][1451.53, 676.189][1510.22, 624.667]
[1324.55, 536.549][1369.53, 488.529][1453.24, 666.781][1512.44, 613.585]
[1322.86, 522.12][1370.1, 475.191][1451.2, 653.123][1514.75, 602.88]
[1323.94, 513.88][1370.95, 461.342][1451.39, 640.626][1515.45, 589.01]
[1321.46, 496.96][1371.1, 446.585][1452.13, 627.723][1515.43, 574.483]
[1319.38, 483.227][1369.07, 433.163][1450.51, 615.078][1515.43, 561.445]
[1314.2, 470.361][1365.02, 420.839][1446.75, 603.304][1512.07, 549.379]
[1306.92, 458.825][1357.77, 410.026][1440.53, 593.696][1507.25, 539.561]
[1298.09, 449.029][1351.17, 401.089][1431.62, 585.333][1500.22, 529.375]
[1286.16, 440.584][1339.57, 392.473][1421.58, 578.565][1489.11, 522.313]
[1271.62, 434.228][1325.52, 386.565][1407.86, 573.981][1475.62, 517.819]
[1255.37, 431.766][1307.95, 382.768][1391.66, 572.305][1460.15, 515.941]
[1238.55, 431.166][1291.21, 380.862][1375.66, 572.534][1443.85, 515.472]
[1221.42, 431.524][1274.97, 380.78][1359.7, 574.069][1427.34, 515.908]
[1205.14, 431.847][1260.49, 381.925][1345.66, 576.619][1413.4, 518.495]
